I_n,Q_n,P_n,L_n,R_n,G_n,alpha_L,alpha_R,alpha_G
40,-4.32,12.2,3,0.9,1,0.03,0.05,0.47
36,-4.29,12.3,3,0.84,1,1.13,0.69,0.33
39,-4.23,12.4,3,0.9,1,0,0.05,0.88
38,-2.64,12.5,3,0.9,1,1.15,0.38,1.08
55,-2.58,12.6,4,0.7,0,0.33,1.02,0.32
37,-2.41,12.7,3,1,1,0.3,0.1,0.8
53,-2.32,12.8,4,0.89,0,0.8,1.14,0.14
1,-2.29,12.9,1,0.9,1,1.04,0.72,1.07
51,-2.26,13,4,0.8,0,0.89,0.7,0.45
11,-1.68,13.1,1,0.86,0,0.17,0.08,1.03
46,-1.35,13.2,4,0.6,0,0.85,1.13,0.28
14,-1.31,13.3,2,0.9,0,0.28,0.69,0.82
7,-1.27,13.4,1,0.97,0,0.02,1.25,0.83
42,-1.27,13.6,3,0.8,0,0.8,0.42,0.06
18,-1.22,13.8,2,1,0,0.72,0.4,0.06
48,-1.18,13.9,4,0.86,0,1.09,0.45,0.73
31,-1.1,14.1,2,0.97,0,0.6,0.3,0.47
27,-0.88,14.2,2,0.9,0,0.38,0.68,0.48
3,-0.64,14.3,1,0.9,1,0.71,1.2,1.03
2,-0.41,14.4,1,0.9,1,0.01,0.92,0.24
10,-0.34,14.5,1,1,0,0.82,0.99,0.92
5,-0.32,14.8,1,0.8,1,0.38,0.5,0.31
4,-0.23,15,1,0.8,1,0.38,0.44,0.65
22,-0.2,15.1,2,1,0,0.57,0.04,0.24
43,0.38,20.9,4,1,0,0.6,0.81,0.21
6,0.63,20.7,1,1,0,0.54,0.85,0.43
44,0.12,20.6,4,0.97,0,0.22,0.35,0.21
47,0.84,20.6,4,1,0,0.02,0.98,1.01
9,0.12,20.5,1,0.6,0,0.21,0.07,0.89
45,0.34,20.4,4,0.7,0,0.17,0.03,0
26,0.74,20.3,2,0.9,0,0.09,0.28,0.48
34,0.68,20.3,3,1,0,0.6,0.73,0.74
41,0.63,20.2,3,0.8,0,0.91,0.24,0.98
8,0.38,20.1,1,0.7,0,0.94,0.89,0.31
30,0.82,20.1,2,1,0,0.01,1.18,0.33
49,0.91,19.7,4,0.84,0,0.09,0.48,0.02
15,0.98,19.2,2,0.9,0,1.01,0.44,0.9
12,1.03,19.1,1,0.84,0,0.95,0.78,0.67
32,1.04,18.8,2,0.7,0,0.26,0.85,0.19
19,1.06,18.4,2,0.97,0,1.15,0.66,0.02
13,1.08,18.3,2,0.9,0,0.27,1.29,0.23
35,1.96,18.2,3,0.86,0,1.09,0.69,0.51
28,1.09,18.1,2,0.8,0,0.13,0.26,0.34
52,2.04,18.1,4,1,0,0.66,0.56,0.34
17,2.47,17.5,2,0.8,0,0.59,0.13,0.08
21,1.22,17.5,2,0.6,0,1.15,0.76,1.09
25,2.74,17.3,2,0.9,0,0.46,0.97,0.97
29,1.23,17.1,2,0.8,0,1.19,0.94,0.49
16,2.86,16.9,2,0.8,0,0.5,1.21,1.01
24,3.89,16.4,2,0.84,0,0.36,1.05,1.03
50,1.39,16.4,4,1,0,0.43,0.42,0.89
23,1.45,16.2,2,0.86,0,0.23,0.08,0.14
20,6.34,16.1,2,0.7,0,0.29,0.49,0.26
54,1.5,15.8,4,0.85,0,0.51,0.6,0.78
33,1.78,15.5,3,0.6,0,0.32,0.39,0.14
